goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/mithril/pkg/turbine
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkTransactionVerificationFlow/generated_1232B/workers_2/target_8/sparse_7tx_200ms_overlap-8         	       3	 200704225 ns/op	         0.02970 avg_cpu_cores	        37.00 components/block	         5.961 cpu-ms/block	         0.5458 feed_lag_p50-ms	         0.9953 feed_lag_p95-ms	         6.919 mean_width	         0.6663 ready_p50-ms	         1.147 ready_p95-ms	         0.6189 residual_p50-ms	         1.129 residual_p95-ms	       256.0 signatures/block	      1276 signatures/s	         0.003116 submit_p50-ms	         0.008637 submit_p95-ms	  381186 B/op	     932 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_2/target_8/sparse_7tx_200ms_overlap-8         	       3	 200734505 ns/op	         0.01986 avg_cpu_cores	        37.00 components/block	         3.987 cpu-ms/block	         0.5511 feed_lag_p50-ms	         0.9991 feed_lag_p95-ms	         6.919 mean_width	         0.6354 ready_p50-ms	         1.085 ready_p95-ms	         0.8372 residual_p50-ms	         1.059 residual_p95-ms	       256.0 signatures/block	      1275 signatures/s	         0.001192 submit_p50-ms	         0.003176 submit_p95-ms	  381037 B/op	     930 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_2/target_8/sparse_8tx_200ms_overlap-8         	       3	 200612984 ns/op	         0.01255 avg_cpu_cores	        32.00 components/block	         2.517 cpu-ms/block	         0.5718 feed_lag_p50-ms	         1.002 feed_lag_p95-ms	         8.000 mean_width	         0.6479 ready_p50-ms	         1.064 ready_p95-ms	         0.4956 residual_p50-ms	         0.9127 residual_p95-ms	       256.0 signatures/block	      1276 signatures/s	         0.001432 submit_p50-ms	         0.005420 submit_p95-ms	  420621 B/op	     878 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_2/target_8/sparse_8tx_200ms_overlap-8         	       3	 200664651 ns/op	         0.01322 avg_cpu_cores	        32.00 components/block	         2.652 cpu-ms/block	         0.6362 feed_lag_p50-ms	         1.010 feed_lag_p95-ms	         8.000 mean_width	         0.6894 ready_p50-ms	         1.085 ready_p95-ms	         0.6880 residual_p50-ms	         0.7389 residual_p95-ms	       256.0 signatures/block	      1276 signatures/s	         0.001503 submit_p50-ms	         0.006863 submit_p95-ms	  374829 B/op	     875 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_2/target_8/sparse_8tx_200ms_overlap-8         	       3	 200621059 ns/op	         0.01625 avg_cpu_cores	        32.00 components/block	         3.260 cpu-ms/block	         0.6089 feed_lag_p50-ms	         1.027 feed_lag_p95-ms	         8.000 mean_width	         0.6781 ready_p50-ms	         1.091 ready_p95-ms	         0.6671 residual_p50-ms	         0.8341 residual_p95-ms	       256.0 signatures/block	      1276 signatures/s	         0.002575 submit_p50-ms	         0.008015 submit_p95-ms	  374941 B/op	     876 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_4/target_4/catchup-8                          	       3	  95848314 ns/op	         3.962 avg_cpu_cores	         1.000 components/block	       379.7 cpu-ms/block	         0.0005010 feed_lag_p50-ms	         0.0008820 feed_lag_p95-ms	         4.000 mean_width	        97.21 ready_p50-ms	        97.49 ready_p95-ms	        97.21 residual_p50-ms	        97.49 residual_p95-ms	     33760 signatures/block	    352223 signatures/s	         0.006161 submit_p50-ms	         0.01999 submit_p95-ms	44616002 B/op	   67558 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_4/target_4/catchup-8                          	       3	  93784047 ns/op	         3.933 avg_cpu_cores	         1.000 components/block	       368.9 cpu-ms/block	         0.0002600 feed_lag_p50-ms	         0.0005810 feed_lag_p95-ms	         4.000 mean_width	        97.49 ready_p50-ms	        98.78 ready_p95-ms	        97.49 residual_p50-ms	        98.78 residual_p95-ms	     33760 signatures/block	    359976 signatures/s	         0.004298 submit_p50-ms	         0.005380 submit_p95-ms	44570261 B/op	   67556 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_4/target_4/catchup-8                          	       3	  83340419 ns/op	         4.080 avg_cpu_cores	         1.000 components/block	       340.1 cpu-ms/block	         0.0002600 feed_lag_p50-ms	         0.0004810 feed_lag_p95-ms	         4.000 mean_width	        83.48 ready_p50-ms	        84.27 ready_p95-ms	        83.48 residual_p50-ms	        84.27 residual_p95-ms	     33760 signatures/block	    405086 signatures/s	         0.004358 submit_p50-ms	         0.004779 submit_p95-ms	44615936 B/op	   67557 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_4/target_4/tip_200ms_after_complete-8         	       3	 284770040 ns/op	         1.189 avg_cpu_cores	       689.0 components/block	       338.7 cpu-ms/block	       100.2 feed_lag_p50-ms	       190.3 feed_lag_p95-ms	         4.000 mean_width	       184.7 ready_p50-ms	       274.8 ready_p95-ms	        84.70 residual_p50-ms	        84.90 residual_p95-ms	     33760 signatures/block	    118552 signatures/s	         0.01420 submit_p50-ms	         0.01501 submit_p95-ms	44627381 B/op	   67557 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_4/target_4/tip_200ms_after_complete-8         	       3	 283332704 ns/op	         1.187 avg_cpu_cores	       689.0 components/block	       336.2 cpu-ms/block	       100.4 feed_lag_p50-ms	       190.5 feed_lag_p95-ms	         4.000 mean_width	       183.3 ready_p50-ms	       273.5 ready_p95-ms	        83.42 residual_p50-ms	        83.48 residual_p95-ms	     33760 signatures/block	    119153 signatures/s	         0.01509 submit_p50-ms	         0.01671 submit_p95-ms	44764728 B/op	   67563 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_4/target_4/tip_200ms_after_complete-8         	       3	 288602671 ns/op	         1.226 avg_cpu_cores	       689.0 components/block	       353.9 cpu-ms/block	       100.4 feed_lag_p50-ms	       190.5 feed_lag_p95-ms	         4.000 mean_width	       188.6 ready_p50-ms	       278.7 ready_p95-ms	        82.52 residual_p50-ms	       101.5 residual_p95-ms	     33760 signatures/block	    116977 signatures/s	         0.01444 submit_p50-ms	         0.01669 submit_p95-ms	44627397 B/op	   67557 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_4/target_4/tip_200ms_overlap-8                	       3	 200391623 ns/op	         1.700 avg_cpu_cores	       689.0 components/block	       340.6 cpu-ms/block	         0.1294 feed_lag_p50-ms	         0.6600 feed_lag_p95-ms	         3.770 mean_width	         0.4949 ready_p50-ms	         1.080 ready_p95-ms	         0.3539 residual_p50-ms	         0.5576 residual_p95-ms	     33760 signatures/block	    168470 signatures/s	         0.0006110 submit_p50-ms	         0.001674 submit_p95-ms	45465394 B/op	   75165 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_4/target_4/tip_200ms_overlap-8                	       3	 200606793 ns/op	         1.834 avg_cpu_cores	       689.0 components/block	       368.0 cpu-ms/block	         0.09882 feed_lag_p50-ms	         0.6699 feed_lag_p95-ms	         3.770 mean_width	         0.5168 ready_p50-ms	         1.161 ready_p95-ms	         0.5678 residual_p50-ms	         0.7021 residual_p95-ms	     33760 signatures/block	    168289 signatures/s	         0.0007420 submit_p50-ms	         0.002705 submit_p95-ms	45554293 B/op	   75146 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_4/target_4/tip_200ms_overlap-8                	       3	 200390250 ns/op	         1.799 avg_cpu_cores	       689.0 components/block	       360.4 cpu-ms/block	         0.1082 feed_lag_p50-ms	         0.6858 feed_lag_p95-ms	         3.770 mean_width	         0.5309 ready_p50-ms	         1.290 ready_p95-ms	         0.2986 residual_p50-ms	         0.5996 residual_p95-ms	     33760 signatures/block	    168471 signatures/s	         0.0007310 submit_p50-ms	         0.002485 submit_p95-ms	45417898 B/op	   75147 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_4/target_4/sparse_4tx_200ms_overlap-8         	       3	 200708870 ns/op	         0.02342 avg_cpu_cores	        64.00 components/block	         4.700 cpu-ms/block	         0.5677 feed_lag_p50-ms	         0.9727 feed_lag_p95-ms	         4.000 mean_width	         0.6206 ready_p50-ms	         1.032 ready_p95-ms	         0.5738 residual_p50-ms	         1.110 residual_p95-ms	       256.0 signatures/block	      1275 signatures/s	         0.001583 submit_p50-ms	         0.004359 submit_p95-ms	  423106 B/op	    1229 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_4/target_4/sparse_4tx_200ms_overlap-8         	       3	 200711469 ns/op	         0.02988 avg_cpu_cores	        64.00 components/block	         5.998 cpu-ms/block	         0.5955 feed_lag_p50-ms	         1.001 feed_lag_p95-ms	         4.000 mean_width	         0.6690 ready_p50-ms	         1.073 ready_p95-ms	         0.6728 residual_p50-ms	         0.8759 residual_p95-ms	       256.0 signatures/block	      1275 signatures/s	         0.002254 submit_p50-ms	         0.005320 submit_p95-ms	  422957 B/op	    1227 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_4/target_4/sparse_4tx_200ms_overlap-8         	       3	 200458906 ns/op	         0.02460 avg_cpu_cores	        64.00 components/block	         4.931 cpu-ms/block	         0.5634 feed_lag_p50-ms	         0.9819 feed_lag_p95-ms	         4.000 mean_width	         0.6169 ready_p50-ms	         1.037 ready_p95-ms	         0.4628 residual_p50-ms	         0.6882 residual_p95-ms	       256.0 signatures/block	      1277 signatures/s	         0.001663 submit_p50-ms	         0.004278 submit_p95-ms	  422957 B/op	    1227 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_4/target_4/sparse_7tx_200ms_overlap-8         	       3	 200411787 ns/op	         0.02500 avg_cpu_cores	        37.00 components/block	         5.011 cpu-ms/block	         0.5475 feed_lag_p50-ms	         0.9961 feed_lag_p95-ms	         3.507 mean_width	         0.6059 ready_p50-ms	         1.064 ready_p95-ms	         0.2112 residual_p50-ms	         0.8439 residual_p95-ms	       256.0 signatures/block	      1277 signatures/s	         0.001603 submit_p50-ms	         0.008125 submit_p95-ms	  386365 B/op	     930 allocs/op
