goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/mithril/pkg/turbine
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkTransactionVerificationFlow/captured_2622581/workers_4/target_8/tip_200ms_overlap-8                	       3	 200749032 ns/op	         0.8810 avg_cpu_cores	       126.0 components/block	       176.9 cpu-ms/block	         0.5054 feed_lag_p50-ms	         0.9943 feed_lag_p95-ms	         7.912 mean_width	         0.9516 ready_p50-ms	         1.431 ready_p95-ms	         0.5820 residual_p50-ms	         1.073 residual_p95-ms	     33760 signatures/block	    168170 signatures/s	         0.001633 submit_p50-ms	         0.005690 submit_p95-ms	 7226581 B/op	   68928 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622653/workers_2/target_4/catchup-8                          	       3	 155918266 ns/op	         2.038 avg_cpu_cores	         1.000 components/block	       317.8 cpu-ms/block	         0.0004010 feed_lag_p50-ms	         0.0004910 feed_lag_p95-ms	         4.000 mean_width	       156.2 ready_p50-ms	       157.5 ready_p95-ms	       156.2 residual_p50-ms	       157.5 residual_p95-ms	     33760 signatures/block	    216524 signatures/s	         0.007043 submit_p50-ms	         0.007063 submit_p95-ms	 7023138 B/op	   67538 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622653/workers_2/target_4/catchup-8                          	       3	 144724837 ns/op	         2.047 avg_cpu_cores	         1.000 components/block	       296.2 cpu-ms/block	         0.0002410 feed_lag_p50-ms	         0.0004610 feed_lag_p95-ms	         4.000 mean_width	       144.7 ready_p50-ms	       145.3 ready_p95-ms	       144.7 residual_p50-ms	       145.3 residual_p95-ms	     33760 signatures/block	    233270 signatures/s	         0.004688 submit_p50-ms	         0.006221 submit_p95-ms	 7023133 B/op	   67538 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622653/workers_2/target_4/catchup-8                          	       3	 167371225 ns/op	         2.049 avg_cpu_cores	         1.000 components/block	       343.0 cpu-ms/block	         0.0002700 feed_lag_p50-ms	         0.0007810 feed_lag_p95-ms	         4.000 mean_width	       168.7 ready_p50-ms	       179.5 ready_p95-ms	       168.7 residual_p50-ms	       179.5 residual_p95-ms	     33760 signatures/block	    201707 signatures/s	         0.005831 submit_p50-ms	         0.006833 submit_p95-ms	 7023133 B/op	   67538 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622653/workers_2/target_4/tip_200ms_after_complete-8         	       3	 348985373 ns/op	         0.8724 avg_cpu_cores	       126.0 components/block	       304.4 cpu-ms/block	       100.1 feed_lag_p50-ms	       191.3 feed_lag_p95-ms	         4.000 mean_width	       248.9 ready_p50-ms	       340.1 ready_p95-ms	       150.1 residual_p50-ms	       152.0 residual_p95-ms	     33760 signatures/block	     96738 signatures/s	         0.01628 submit_p50-ms	         0.01804 submit_p95-ms	 7033333 B/op	   67539 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622653/workers_2/target_4/tip_200ms_after_complete-8         	       3	 353413098 ns/op	         0.8855 avg_cpu_cores	       126.0 components/block	       312.9 cpu-ms/block	       100.1 feed_lag_p50-ms	       191.3 feed_lag_p95-ms	         4.000 mean_width	       253.3 ready_p50-ms	       344.5 ready_p95-ms	       155.7 residual_p50-ms	       158.2 residual_p95-ms	     33760 signatures/block	     95526 signatures/s	         0.02336 submit_p50-ms	         0.03805 submit_p95-ms	 7079125 B/op	   67541 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622653/workers_2/target_4/tip_200ms_after_complete-8         	       3	 349811570 ns/op	         0.8763 avg_cpu_cores	       126.0 components/block	       306.6 cpu-ms/block	        99.80 feed_lag_p50-ms	       191.0 feed_lag_p95-ms	         4.000 mean_width	       249.2 ready_p50-ms	       340.4 ready_p95-ms	       151.6 residual_p50-ms	       153.0 residual_p95-ms	     33760 signatures/block	     96509 signatures/s	         0.01705 submit_p50-ms	         0.01774 submit_p95-ms	 7033333 B/op	   67539 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622653/workers_2/target_4/tip_200ms_overlap-8                	       3	 200998043 ns/op	         1.604 avg_cpu_cores	       126.0 components/block	       322.3 cpu-ms/block	         0.03342 feed_lag_p50-ms	         0.8444 feed_lag_p95-ms	         3.956 mean_width	         1.732 ready_p50-ms	         3.310 ready_p95-ms	         0.7673 residual_p50-ms	         1.469 residual_p95-ms	     33760 signatures/block	    167962 signatures/s	         0.001633 submit_p50-ms	         0.004388 submit_p95-ms	 7159493 B/op	   68923 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622653/workers_2/target_4/tip_200ms_overlap-8                	       3	 200881915 ns/op	         1.491 avg_cpu_cores	       126.0 components/block	       299.4 cpu-ms/block	         0.2175 feed_lag_p50-ms	         0.8653 feed_lag_p95-ms	         3.956 mean_width	         1.578 ready_p50-ms	         2.468 ready_p95-ms	         0.9112 residual_p50-ms	         1.054 residual_p95-ms	     33760 signatures/block	    168059 signatures/s	         0.001072 submit_p50-ms	         0.002876 submit_p95-ms	 7159410 B/op	   68922 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622653/workers_2/target_4/tip_200ms_overlap-8                	       3	 200919959 ns/op	         1.509 avg_cpu_cores	       126.0 components/block	       303.1 cpu-ms/block	         0.04134 feed_lag_p50-ms	         0.8647 feed_lag_p95-ms	         3.956 mean_width	         1.588 ready_p50-ms	         2.515 ready_p95-ms	         0.6775 residual_p50-ms	         1.408 residual_p95-ms	     33760 signatures/block	    168027 signatures/s	         0.001152 submit_p50-ms	         0.002685 submit_p95-ms	 7160456 B/op	   68931 allocs/op
